	GO:0016477	GO:0007010	GO:1902589	GO:0050793	GO:0031965
Afdn	0	0	0	0	0
Akap12	0	0	0	0	0
Alms1	0	0	0	1	0
Ankrd17	0	0	0	1	1
Ankrd44	0	0	0	0	0
Ap2a1	0	0	0	1	0
Apc	1	1	1	1	1
Arntl	0	0	0	1	0
Atp2a2	0	0	0	0	0
B4galt5	0	0	0	0	0
Baz1b	0	0	1	0	0
Brca2	0	1	1	1	0
Brd2	0	0	0	0	0
Brdt	0	0	1	0	0
Brwd1	0	1	0	1	0
Brwd3	0	1	0	1	0
Btaf1	0	0	0	0	0
Cabin1	0	0	0	0	0
Camsap1	0	1	1	1	0
Cand1	0	0	0	0	0
Casp8ap2	0	0	0	0	0
Cdc42bpb	1	1	1	0	0
Cenpe	0	1	1	1	0
Cep120	0	1	1	1	0
Cgn	0	1	1	0	0
Chd4	0	0	0	0	0
Clock	0	0	0	1	0
Clstn1	0	0	0	1	0
Cry1	0	0	0	0	0
Ctnnb1	1	0	0	1	1
Dclk2	0	1	1	0	0
Dennd4a	0	0	0	0	0
Dtx2	0	0	0	0	1
Eea1	0	0	1	0	0
Eif4e1b	0	0	0	0	0
Ep400	0	0	1	0	0
Evi5	0	0	0	0	0
Ezh2	0	0	1	1	0
Flnb	0	1	1	0	0
Fndc3b	1	0	0	1	0
Fnip1	0	0	0	1	0
Gbf1	1	0	1	0	0
Gcc2	0	1	1	0	0
Gsk3a	1	0	0	1	0
Hdlbp	0	0	0	0	0
Hectd4	0	0	0	0	0
Hif1a	1	0	0	1	0
Hnrnpf	0	0	0	0	0
Hnrnpu	0	0	0	1	0
Itga6	1	0	0	0	0
Itpr1	0	0	0	0	1
Kit	1	1	1	1	0
Kmt2c	0	0	1	0	0
Larp4	0	1	0	1	0
Lonrf1	0	0	0	0	0
Luzp1	0	0	0	0	0
Map2k1	0	0	0	1	0
Map4k5	0	0	0	0	0
Mcm3ap	0	0	0	0	1
Mcmbp	0	0	1	0	0
Med15	0	0	0	0	0
Mpdz	0	0	0	0	0
Msh6	0	0	0	1	0
Mtmr4	0	0	0	0	0
Myh9	1	1	1	1	0
N4bp2	0	0	0	0	0
Ncoa6	0	0	1	0	0
Ndc1	0	0	1	0	1
Nfrkb	0	0	0	0	0
Nhsl1	0	0	0	0	0
Numa1	0	1	1	1	0
Nup93	1	0	0	0	1
Nup98	0	0	0	0	1
Osbpl8	0	0	0	0	1
Pak4	0	0	0	1	0
Parp12	0	0	0	0	0
Pcbp1	0	0	0	0	0
Pcm1	1	1	1	1	1
Pdpk1	1	0	0	1	0
Phf3	0	0	0	0	0
Ppip5k2	0	0	0	0	0
Ppp1r12a	0	0	1	0	0
Prickle1	0	0	0	1	1
Prkd1	0	0	0	1	0
Psip1	0	0	0	0	0
Psme4	0	0	1	0	0
Ptk2	1	1	1	1	0
Rab3gap2	0	0	0	0	0
Raf1	0	1	1	0	0
Reps1	0	0	0	0	0
Resf1	0	0	0	0	0
Rest	0	0	1	1	0
Rev3l	0	0	0	0	0
Ric1	0	0	0	0	0
Rif1	0	0	1	1	1
Rnf111	0	0	0	0	0
Rock1	1	1	1	1	0
Shprh	0	0	0	0	0
Sipa1l2	0	0	0	0	0
Slc12a2	0	0	0	0	0
Slc20a1	0	0	0	0	0
Smc3	0	0	1	0	0
Son	0	1	1	0	0
Sorbs1	0	1	1	0	0
Specc1l	1	1	1	0	0
Sptbn1	0	0	0	0	0
Srrm1	0	0	0	0	0
Srrm2	0	0	0	0	0
Stt3b	0	0	0	0	0
Tbc1d8	0	0	0	0	0
Ticrr	0	0	0	0	0
Tjp1	0	0	0	0	0
Tm9sf2	0	0	0	0	0
Trim32	0	1	1	1	0
Trip12	0	0	0	1	0
Uba1	0	0	0	0	0
Ube3a	0	0	0	1	0
Ube4b	0	0	0	0	0
Uhrf1	0	0	1	0	0
Usp15	0	0	1	0	0
Usp19	0	0	0	1	0
Usp9x	1	0	0	0	0
Wapl	0	0	0	0	0
Wasl	0	1	1	0	0
Wdr36	0	0	0	1	0
Wnk1	0	0	0	0	0
Zbed3	0	0	0	0	0
Zfp106	0	0	0	0	0
Znfx1	0	0	0	0	0


GO:0016477	cell migration
GO:0007010	cytoskeleton organization
GO:1902589	single-organism organelle organization
GO:0050793	regulation of developmental process
GO:0031965	nuclear membrane
