,Experiment,Paternal,Maternal,Other
20210513-ITP-1cell-cross-50-A,20210513-ITP-1cell-cross-50-A,1.2560029553010712,96.98313015638468,1.7608668883142542
20210513-ITP-1cell-cross-50-B,20210513-ITP-1cell-cross-50-B,0.9326845093268451,97.55677210056773,1.5105433901054255
20210513-ITP-1cell-cross-50-C,20210513-ITP-1cell-cross-50-C,1.0155721056194988,96.75016926201761,2.234258632362895
20210513-ITP-1cell-cross-50-D,20210513-ITP-1cell-cross-50-D,1.1716057891109581,96.38869745003446,2.439696760854588
20210513-ITP-1cell-cross-50-E,20210513-ITP-1cell-cross-50-E,1.3238770685579195,96.02836879432624,2.6477541371158395
20210513-ITP-2cell-cross-50-B,20210513-ITP-2cell-cross-50-B,11.798689034551717,86.52371958671259,1.6775913787356984
20210513-ITP-2cell-cross-50-C,20210513-ITP-2cell-cross-50-C,4.806034482758621,93.01724137931035,2.176724137931032
20210513-ITP-2cell-cross-50-F,20210513-ITP-2cell-cross-50-F,7.0810899004731604,90.43889704682655,2.4800130527002864
20210513-ITP-4cell-cross-50-B,20210513-ITP-4cell-cross-50-B,43.87968473540293,52.678140582274416,3.4421746823226442
20210513-ITP-4cell-cross-50-C,20210513-ITP-4cell-cross-50-C,43.5493519441675,51.52542372881356,4.925224327018952
20210513-ITP-4cell-cross-50-D,20210513-ITP-4cell-cross-50-D,46.41436994378171,51.61113396407514,1.9744960921431556
20210513-ITP-8cell-cross-50-A,20210513-ITP-8cell-cross-50-A,45.95338062834805,52.32372954973216,1.722889821919793
20210513-ITP-8cell-cross-50-B,20210513-ITP-8cell-cross-50-B,48.62363736177554,49.635322719786686,1.7410399184377638
20210513-ITP-8cell-cross-50-C,20210513-ITP-8cell-cross-50-C,47.59545923632611,50.66047471620227,1.7440660474716196
20210513-ITP-8cell-cross-50-D,20210513-ITP-8cell-cross-50-D,45.276956689371545,52.89808507903868,1.8249582315897754
20210301-ITP-MII-25-B,20210301-ITP-MII-25-B,1.0223531450355225,97.08889273955987,1.888754115404609
20210301-ITP-MII-50-A,20210301-ITP-MII-50-A,0.9392121054004696,97.75632663709888,1.3044612575006482
20210301-ITP-MII-50-B,20210301-ITP-MII-50-B,0.8455882352941176,97.81862745098039,1.3357843137254974
20210318-ITP-MII-50-B,20210318-ITP-MII-50-B,1.0543245175125089,97.35525375268048,1.5904217298070051
20210614-ITP-MII-50-D,20210614-ITP-MII-50-D,1.1059464657797724,96.63407597371373,2.259977560506499
20210614-ITP-GV-50-A,20210614-ITP-GV-50-A,0.912079753950578,97.38042210202566,1.7074981440237593
20210614-ITP-GV-50-B,20210614-ITP-GV-50-B,1.3991769547325104,96.69410150891632,1.9067215363511707
20210614-ITP-GV-50-C,20210614-ITP-GV-50-C,1.2538284839203675,95.85566615620215,2.89050535987748
20210614-ITP-GV-50-D,20210614-ITP-GV-50-D,1.8475027399405042,94.1286989196806,4.023798340378889
20210614-ITP-GV-50-E,20210614-ITP-GV-50-E,0.9520709577671088,97.07868825779153,1.969240784441368
20210614-ITP-GV-50-F,20210614-ITP-GV-50-F,1.0264086389393778,97.39121137602909,1.5823799850315368
